experiment	day	I	M	m	E	3n+0	3n+1	3n+2	IFM	OFM	short|IFM
Dot1l_e1.1	d3	93%	99%	8%	106%	27%	40%	32%	23%	76%	36%
Dot1l_e1.1	d7	85%	96%	8%	113%	54%	23%	21%	51%	48%	45%
Dot1l_e1.1	d10	83%	96%	8%	115%	46%	28%	24%	48%	51%	34%
Dot1l_e11.2	d3	78%	84%	9%	105%	19%	32%	47%	19%	80%	32%
Dot1l_e11.2	d7	43%	53%	9%	112%	35%	29%	35%	33%	66%	55%
Dot1l_e11.2	d10	6%	15%	9%	92%	33%	26%	40%	26%	73%	85%
Dot1l_e7.1	d3	87%	83%	8%	93%	27%	32%	39%	24%	75%	44%
Dot1l_e7.1	d7	62%	73%	8%	114%	36%	29%	33%	35%	64%	49%
Dot1l_e7.1	d10	22%	31%	8%	115%	53%	24%	21%	51%	47%	92%
Ezh2_e19.2	d3	56%	66%	6%	112%	20%	38%	41%	19%	80%	56%
Ezh2_e19.2	d7	21%	36%	6%	154%	36%	34%	28%	29%	70%	77%
Ezh2_e19.2	d10	5%	11%	6%	122%	55%	24%	20%	41%	58%	85%
Ezh2_e2.1 	d3	55%	70%	14%	120%	14%	40%	44%	12%	87%	42%
Ezh2_e2.1 	d7	48%	57%	14%	105%	47%	26%	26%	45%	54%	54%
Ezh2_e2.1 	d10	35%	47%	14%	111%	60%	21%	17%	58%	41%	47%
Rosa      	d3	71%	42%	2%	57%	56%	23%	20%	0%	0%	0%
Rosa      	d7	71%	58%	2%	81%	44%	30%	25%	0%	0%	0%
Rosa      	d10	73%	70%	2%	94%	55%	22%	22%	0%	0%	0%
Smarca4_e16.1	d3	46%	56%	8%	112%	43%	31%	24%	43%	56%	53%
Smarca4_e16.1	d7	1%	12%	8%	435%	92%	3%	4%	92%	7%	96%
Smarca4_e16.1	d10	0%	12%	8%	783%	84%	8%	7%	85%	14%	95%
Smarca4_e2.1	d3	59%	46%	7%	71%	27%	37%	35%	25%	74%	61%
Smarca4_e2.1	d7	26%	21%	7%	60%	54%	30%	14%	50%	49%	62%
Smarca4_e2.1	d10	22%	25%	7%	89%	50%	25%	25%	41%	58%	53%
