experiment	day	I	M	m	E	3n+0	3n+1	3n+2	IFM	OFM	short|IFM
Smarca4_e2.1	d3	59%	45%	6%	69%	29%	36%	33%	27%	72%	50%
Smarca4_e2.1	d7	26%	24%	6%	71%	57%	23%	19%	53%	46%	57%
Smarca4_e2.1	d10	22%	20%	6%	66%	61%	20%	17%	58%	41%	62%
Smarca4_e16.1	d3	46%	55%	7%	112%	41%	34%	23%	41%	58%	49%
Smarca4_e16.1	d7	1%	9%	7%	264%	79%	11%	8%	78%	21%	92%
Smarca4_e16.1	d10	0%	8%	7%	370%	85%	7%	6%	85%	14%	95%
Rosa      	d3	71%	41%	7%	52%	59%	23%	17%	0%	0%	0%
Rosa      	d7	71%	67%	7%	91%	57%	24%	18%	0%	0%	0%
Rosa      	d10	73%	73%	7%	98%	56%	25%	17%	0%	0%	0%
Dot1l_e11.2	d3	78%	84%	8%	105%	23%	35%	41%	21%	78%	40%
Dot1l_e11.2	d7	43%	55%	8%	119%	32%	31%	35%	30%	69%	51%
Dot1l_e11.2	d10	6%	19%	8%	179%	55%	22%	22%	50%	49%	85%
Dot1l_e6.1	d3	87%	87%	9%	98%	24%	36%	38%	22%	77%	40%
Dot1l_e6.1	d7	62%	72%	9%	113%	32%	34%	32%	30%	69%	43%
Dot1l_e6.1	d10	22%	33%	9%	121%	54%	24%	20%	51%	48%	80%
Dot1l_e1.1	d3	93%	96%	6%	103%	29%	37%	33%	27%	72%	36%
Dot1l_e1.1	d7	85%	93%	6%	109%	51%	25%	22%	51%	48%	43%
Dot1l_e1.1	d10	83%	90%	6%	108%	63%	20%	16%	64%	35%	46%
Ezh2_e2.1 	d3	55%	62%	8%	107%	23%	43%	33%	21%	78%	48%
Ezh2_e2.1 	d7	48%	53%	8%	102%	32%	38%	29%	29%	70%	52%
Ezh2_e2.1 	d10	35%	41%	8%	103%	48%	28%	22%	46%	53%	59%
Ezh2_e19.2	d3	56%	64%	6%	108%	28%	38%	33%	24%	75%	61%
Ezh2_e19.2	d7	21%	34%	6%	141%	38%	33%	27%	34%	65%	69%
Ezh2_e19.2	d10	5%	14%	6%	167%	59%	22%	17%	51%	48%	91%
